"O3.Mean","Date.Local"
0.028542,2015-07-10
0.040208,2015-07-11
0.043375,2015-07-12
0.032875,2015-07-13
0.026833,2015-07-14
0.029792,2015-07-15
0.0355,2015-07-16
0.038583,2015-07-17
0.029875,2015-07-18
0.040542,2015-07-19
0.043333,2015-07-20
0.033875,2015-07-21
0.029,2015-07-22
0.029125,2015-07-23
0.037417,2015-07-24
0.042875,2015-07-25
0.045125,2015-07-26
0.038875,2015-07-27
0.03775,2015-07-28
0.037333,2015-07-29
0.020708,2015-07-30
0.028417,2015-07-31
0.036625,2015-08-01
0.036375,2015-08-02
0.042167,2015-08-03
0.039792,2015-08-04
0.029125,2015-08-05
0.030875,2015-08-06
0.027,2015-08-07
0.027,2015-08-08
0.026625,2015-08-09
0.023417,2015-08-10
0.025412,2015-08-11
0.026375,2015-08-12
0.022417,2015-08-13
0.0385,2015-08-14
0.049458,2015-08-15
0.04175,2015-08-16
0.036125,2015-08-17
0.029833,2015-08-18
0.020833,2015-08-19
0.023708,2015-08-20
0.036917,2015-08-21
0.039333,2015-08-22
0.024833,2015-08-23
0.043167,2015-08-24
0.043292,2015-08-25
0.032,2015-08-26
0.023375,2015-08-27
0.023792,2015-08-28
0.041042,2015-08-29
0.043875,2015-08-30
0.038208,2015-08-31
0.037625,2015-09-01
0.0375,2015-09-02
0.042667,2015-09-03
0.028292,2015-09-04
0.018417,2015-09-05
0.021333,2015-09-06
0.03025,2015-09-07
0.02925,2015-09-08
0.020708,2015-09-09
0.021958,2015-09-10
0.02675,2015-09-11
0.03175,2015-09-12
0.023458,2015-09-13
0.018375,2015-09-14
0.025375,2015-09-15
0.03325,2015-09-16
0.048375,2015-09-17
0.0435,2015-09-18
0.032208,2015-09-19
0.0265,2015-09-20
0.026917,2015-09-21
0.021875,2015-09-22
0.021917,2015-09-23
0.031417,2015-09-24
0.021958,2015-09-25
0.026042,2015-09-26
0.020625,2015-09-27
0.019167,2015-09-28
0.020417,2015-09-29
0.016292,2015-09-30
0.017917,2015-10-01
0.017083,2015-10-02
0.015833,2015-10-03
0.025583,2015-10-04
0.017708,2015-10-05
0.011417,2015-10-06
0.011833,2015-10-07
0.016125,2015-10-08
0.024333,2015-10-09
0.017458,2015-10-10
0.023292,2015-10-11
0.027667,2015-10-12
0.021708,2015-10-13
0.01175,2015-10-14
0.017542,2015-10-15
0.022458,2015-10-16
0.020889,2015-10-17
0.02025,2015-10-18
0.017875,2015-10-19
0.019417,2015-10-20
0.016167,2015-10-21
0.025125,2015-10-22
0.025542,2015-10-23
0.017833,2015-10-24
0.020958,2015-10-25
0.008,2015-10-26
0.014125,2015-10-27
0.024458,2015-10-28
0.023417,2015-10-29
0.019583,2015-10-30
0.016708,2015-10-31
0.017667,2015-11-01
0.00525,2015-11-02
0.005417,2015-11-03
0.010824,2015-11-04
0.010333,2015-11-05
0.010542,2015-11-06
0.022688,2015-11-07
0.017792,2015-11-08
0.009417,2015-11-09
0.016458,2015-11-10
0.022375,2015-11-11
0.017389,2015-11-12
0.022958,2015-11-13
0.023167,2015-11-14
0.015833,2015-11-15
0.0208825268615263,2015-11-16
0.012542,2015-11-17
0.024,2015-11-18
0.030292,2015-11-19
0.022167,2015-11-20
0.0265,2015-11-21
0.025125,2015-11-22
0.018833,2015-11-23
0.010125,2015-11-24
0.021433262944834,2015-11-25
0.0193921067686283,2015-11-26
0.016566892619936,2015-11-27
0.0148832138283235,2015-11-28
0.0130919690699828,2015-11-29
